DATE,SST(K),SST(degC),CW(degC),DelT
1/1/1999,299.851410937076,27.07300193253,9,18.07300193253
1/2/1999,299.950083772202,27.160961716985,9,18.160961716985
1/3/1999,300.07300193253,27.215090815111,9,18.215090815111
1/4/1999,300.160961716985,27.238772295541,9,18.238772295541
1/5/1999,300.215090815111,27.232006158276,9,18.232006158276
1/6/1999,300.238772295541,27.199303161491,9,18.199303161491
1/7/1999,300.232006158276,27.158142493124,9,18.158142493124
1/8/1999,300.199303161491,27.113598756125,9,18.113598756125
1/9/1999,300.158142493124,27.056650434138,9,18.056650434138
1/10/1999,300.113598756125,26.979403700354,9,17.979403700354
1/11/1999,300.056650434138,26.870581659329,9,17.870581659329
1/12/1999,299.979403700354,26.775291892836,9,17.775291892836
1/13/1999,299.870581659329,26.725109708115,9,17.725109708115
1/14/1999,299.775291892836,26.706502830634,9,17.706502830634
1/15/1999,299.725109708115,26.706502830634,9,17.706502830634
1/16/1999,299.706502830634,26.707066675407,9,17.707066675407
1/17/1999,299.706502830634,26.711013588812,9,17.711013588812
1/18/1999,299.707066675407,26.73413122447,9,17.73413122447
1/19/1999,299.711013588812,26.774164203292,9,17.774164203292
1/20/1999,299.73413122447,26.835059438684,9,17.835059438684
1/21/1999,299.774164203292,26.911742327696,9,17.911742327696
1/22/1999,299.835059438684,26.972637563088,9,17.972637563088
1/23/1999,299.911742327696,26.998574422607,9,17.998574422607
1/24/1999,299.972637563088,27.020000523948,9,18.020000523948
1/25/1999,299.998574422607,27.062852726632,9,18.062852726632
1/26/1999,300.020000523948,27.15701480358,9,18.15701480358
1/27/1999,300.062852726632,27.28049680868,9,18.28049680868
1/28/1999,300.15701480358,27.385935781072,9,18.385935781072
1/29/1999,300.28049680868,27.47220403121,9,18.47220403121
1/30/1999,300.385935781072,27.535918490463,9,18.535918490463
1/31/1999,300.47220403121,27.57200455588,9,18.57200455588
2/1/1999,300.535918490463,27.588356054273,9,18.588356054273
2/2/1999,300.57200455588,27.590611433361,9,18.590611433361
2/3/1999,300.588356054273,27.566929952931,9,18.566929952931
2/4/1999,300.590611433361,27.511109320489,9,18.511109320489
2/5/1999,300.566929952931,27.414128019679,9,18.414128019679
2/6/1999,300.511109320489,27.306433668199,9,18.306433668199
2/7/1999,300.414128019679,27.230878468731,9,18.230878468731
2/8/1999,300.306433668199,27.194792403314,9,18.194792403314
2/9/1999,300.230878468731,27.206633143529,9,18.206633143529
2/10/1999,300.194792403314,27.272039137098,9,18.272039137098
2/11/1999,300.206633143529,27.413564174907,9,18.413564174907
2/12/1999,300.272039137098,27.614856758564,9,18.614856758564
2/13/1999,300.413564174907,27.820096255625,9,18.820096255625
2/14/1999,300.614856758564,27.974589723194,9,18.974589723194
2/15/1999,300.820096255625,28.023080373598,9,19.023080373598
2/16/1999,300.974589723194,27.939067502548,9,18.939067502548
2/17/1999,301.023080373598,27.776116363398,9,18.776116363398
2/18/1999,300.939067502548,27.593994501994,9,18.593994501994
2/19/1999,300.776116363398,27.455852532818,9,18.455852532818
2/20/1999,300.593994501994,27.42484107035,9,18.42484107035
2/21/1999,300.455852532818,27.531971577058,9,18.531971577058
2/22/1999,300.42484107035,27.739466453208,9,18.739466453208
2/23/1999,300.531971577058,27.996015824535,9,18.996015824535
2/24/1999,300.739466453208,28.250873661546,9,19.250873661546
2/25/1999,300.996015824535,28.45160240043,9,19.45160240043
2/26/1999,301.250873661546,28.528285289442,9,19.528285289442
2/27/1999,301.45160240043,28.489943844936,9,19.489943844936
2/28/1999,301.528285289442,28.399728681393,9,19.399728681393
3/1/1999,301.489943844936,28.327556550558,9,19.327556550558
3/2/1999,301.399728681393,28.337141911684,9,19.337141911684
3/3/1999,301.327556550558,28.450474710886,9,19.450474710886
3/4/1999,301.337141911684,28.618500452986,9,19.618500452986
3/5/1999,301.450474710886,28.798930780073,9,19.798930780073
3/6/1999,301.618500452986,28.949477334236,9,19.949477334236
3/7/1999,301.798930780073,29.030670981425,9,20.030670981425
3/8/1999,301.949477334236,29.007553345767,9,20.007553345767
3/9/1999,302.030670981425,28.91113588973,9,19.91113588973
3/10/1999,302.007553345767,28.798366935301,9,19.798366935301
3/11/1999,301.91113588973,28.726758649238,9,19.726758649238
3/12/1999,301.798366935301,28.75100397444,9,19.75100397444
3/13/1999,301.726758649238,28.890837477933,9,19.890837477933
3/14/1999,301.75100397444,29.09494928545,9,20.09494928545
3/15/1999,301.890837477933,29.324434107714,9,20.324434107714
3/16/1999,302.09494928545,29.535875897269,9,20.535875897269
3/17/1999,302.324434107714,29.686986296205,9,20.686986296205
3/18/1999,302.535875897269,29.733785412293,9,20.733785412293
3/19/1999,302.686986296205,29.689805520066,9,20.689805520066
3/20/1999,302.733785412293,29.599590356522,9,20.599590356522
3/21/1999,302.689805520066,29.506555969118,9,20.506555969118
3/22/1999,302.599590356522,29.458065318713,9,20.458065318713
3/23/1999,302.506555969118,29.472161438017,9,20.472161438017
3/24/1999,302.458065318713,29.529673604776,9,20.529673604776
3/25/1999,302.472161438017,29.624963371269,9,20.624963371269
3/26/1999,302.529673604776,29.747881531597,9,20.747881531597
3/27/1999,302.624963371269,29.89053425895,9,20.89053425895
3/28/1999,302.747881531597,30.027548538582,9,21.027548538582
3/29/1999,302.89053425895,30.135806734834,9,21.135806734834
3/30/1999,303.027548538582,30.21869191634,9,21.21869191634
3/31/1999,303.135806734834,30.272821014466,9,21.272821014466
4/1/1999,303.21869191634,30.298757873985,9,21.298757873985
4/2/1999,303.272821014466,30.288608668086,9,21.288608668086
4/3/1999,303.298757873985,30.249703378808,9,21.249703378808
4/4/1999,303.288608668086,30.200648883631,9,21.200648883631
4/5/1999,303.249703378808,30.157232836176,9,21.157232836176
4/6/1999,303.200648883631,30.135806734834,9,21.135806734834
4/7/1999,303.157232836176,30.143700561644,9,21.143700561644
4/8/1999,303.135806734834,30.178095092745,9,21.178095092745
4/9/1999,303.143700561644,30.239554172909,9,21.239554172909
4/10/1999,303.178095092745,30.329769336453,9,21.329769336453
4/11/1999,303.239554172909,30.450432117692,9,21.450432117692
4/12/1999,303.329769336453,30.593084845045,9,21.593084845045
4/13/1999,303.450432117692,30.731790658994,9,21.731790658994
4/14/1999,303.593084845045,30.836101941841,9,21.836101941841
4/15/1999,303.731790658994,30.87782645498,9,21.87782645498
4/16/1999,303.836101941841,30.828208115031,9,21.828208115031
4/17/1999,303.87782645498,30.728407590361,9,21.728407590361
4/18/1999,303.828208115031,30.628043220919,9,21.628043220919
4/19/1999,303.728407590361,30.506816594907,9,21.506816594907
4/20/1999,303.628043220919,30.346684679617,9,21.346684679617
4/21/1999,303.506816594907,30.127912908024,9,21.127912908024
4/22/1999,303.346684679617,29.976802509088,9,20.976802509088
4/23/1999,303.127912908024,29.968908682278,9,20.968908682278
4/24/1999,302.976802509088,30.009505505873,9,21.009505505873
4/25/1999,302.968908682278,30.006686282012,9,21.006686282012
4/26/1999,303.009505505873,29.867416623292,9,20.867416623292
4/27/1999,303.006686282012,29.658794057597,9,20.658794057597
4/28/1999,302.867416623292,29.501481366168,9,20.501481366168
4/29/1999,302.658794057597,29.382510119245,9,20.382510119245
4/30/1999,302.501481366168,29.284964973664,9,20.284964973664
5/1/1999,302.382510119245,29.197005189209,9,20.197005189209
5/2/1999,302.284964973664,29.150769917893,9,20.150769917893
5/3/1999,302.197005189209,29.180089846044,9,20.180089846044
5/4/1999,302.150769917893,29.264102717094,9,20.264102717094
5/5/1999,302.180089846044,29.383073964017,9,20.383073964017
5/6/1999,302.264102717094,29.516141330244,9,20.516141330244
5/7/1999,302.383073964017,29.639059490572,9,20.639059490572
5/8/1999,302.516141330244,29.734349257065,9,20.734349257065
5/9/1999,302.639059490572,29.789042199963,9,20.789042199963
5/10/1999,302.734349257065,29.792425268596,9,20.792425268596
5/11/1999,302.789042199963,29.731530033204,9,20.731530033204
5/12/1999,302.792425268596,29.59902651175,9,20.59902651175
5/13/1999,302.731530033204,29.424798477156,9,20.424798477156
5/14/1999,302.59902651175,29.253389666424,9,20.253389666424
5/15/1999,302.424798477156,29.128216127007,9,20.128216127007
5/16/1999,302.253389666424,29.09494928545,9,20.09494928545
5/17/1999,302.128216127007,29.1789621565,9,20.1789621565
5/18/1999,302.09494928545,29.339657916562,9,20.339657916562
5/19/1999,302.1789621565,29.530237449548,9,20.530237449548
5/20/1999,302.339657916562,29.699390881192,9,20.699390881192
5/21/1999,302.530237449548,29.796936026773,9,20.796936026773
5/22/1999,302.699390881192,29.777201459748,9,20.777201459748
5/23/1999,302.796936026773,29.65935790237,9,20.65935790237
5/24/1999,302.777201459748,29.49415138413,9,20.49415138413
