DATE,SST(K),SST(degC),CW(degC),DelT
1/1/1999,301.376047200962,28.443144728848,9,19.443144728848
1/2/1999,301.443144728848,28.521519152176,9,19.521519152176
1/3/1999,301.521519152176,28.579595163708,9,19.579595163708
1/4/1999,301.579595163708,28.616808918669,9,19.616808918669
1/5/1999,301.616808918669,28.631468882745,9,19.631468882745
1/6/1999,301.631468882745,28.620755832074,9,19.620755832074
1/7/1999,301.620755832074,28.579595163708,9,19.579595163708
1/8/1999,301.579595163708,28.528849134214,9,19.528849134214
1/9/1999,301.528849134214,28.480922328582,9,19.480922328582
1/10/1999,301.480922328582,28.425101696139,9,19.425101696139
1/11/1999,301.425101696139,28.349546496672,9,19.349546496672
1/12/1999,301.349546496672,28.241852145191,9,19.241852145191
1/13/1999,301.241852145191,28.12851934599,9,19.12851934599
1/14/1999,301.12851934599,28.043942630168,9,19.043942630168
1/15/1999,301.043942630168,27.995451979763,9,18.995451979763
1/16/1999,300.995451979763,27.984738929092,9,18.984738929092
1/17/1999,300.984738929092,28.016878081105,9,19.016878081105
1/18/1999,301.016878081105,28.0918694358,9,19.0918694358
1/19/1999,301.0918694358,28.193361494787,9,19.193361494787
1/20/1999,301.193361494787,28.301055846267,9,19.301055846267
1/21/1999,301.301055846267,28.398600991848,9,19.398600991848
1/22/1999,301.398600991848,28.46739005405,9,19.46739005405
1/23/1999,301.46739005405,28.456113158607,9,19.456113158607
1/24/1999,301.456113158607,28.365897995064,9,19.365897995064
1/25/1999,301.365897995064,28.257075954039,9,19.257075954039
1/26/1999,301.257075954039,28.190542270926,9,19.190542270926
1/27/1999,301.190542270926,28.227756025888,9,19.227756025888
1/28/1999,301.227756025888,28.348982651899,9,19.348982651899
1/29/1999,301.348982651899,28.490507689708,9,19.490507689708
1/30/1999,301.490507689708,28.643873467732,9,19.643873467732
1/31/1999,301.643873467732,28.802313848706,9,19.802313848706
2/1/1999,301.802313848706,28.95567962673,9,19.95567962673
2/2/1999,301.95567962673,29.058299375261,9,20.058299375261
2/3/1999,302.058299375261,29.083108545235,9,20.083108545235
2/4/1999,302.083108545235,29.052660927539,9,20.052660927539
2/5/1999,302.052660927539,28.989510313059,9,19.989510313059
2/6/1999,301.989510313059,28.917902026996,9,19.917902026996
2/7/1999,301.917902026996,28.872794445224,9,19.872794445224
2/8/1999,301.872794445224,28.857006791604,9,19.857006791604
2/9/1999,301.857006791604,28.848549120022,9,19.848549120022
2/10/1999,301.848549120022,28.820920726187,9,19.820920726187
2/11/1999,301.820920726187,28.752695508757,9,19.752695508757
2/12/1999,301.752695508757,28.680523377922,9,19.680523377922
2/13/1999,301.680523377922,28.646128846821,9,19.646128846821
2/14/1999,301.646128846821,28.63541579615,9,19.63541579615
2/15/1999,301.63541579615,28.632032727517,9,19.632032727517
2/16/1999,301.632032727517,28.61962814253,9,19.61962814253
2/17/1999,301.61962814253,28.606095867999,9,19.606095867999
2/18/1999,301.606095867999,28.613989694809,9,19.613989694809
2/19/1999,301.613989694809,28.643873467732,9,19.643873467732
2/20/1999,301.643873467732,28.704768703124,9,19.704768703124
2/21/1999,301.704768703124,28.79554771144,9,19.79554771144
2/22/1999,301.79554771144,28.908880510642,9,19.908880510642
2/23/1999,301.908880510642,29.022777154615,9,20.022777154615
2/24/1999,302.022777154615,29.12370536883,9,20.12370536883
2/25/1999,302.12370536883,29.198132878753,9,20.198132878753
2/26/1999,302.198132878753,29.234782788943,9,20.234782788943
2/27/1999,302.234782788943,29.229708185993,9,20.229708185993
2/28/1999,302.229708185993,29.193058275804,9,20.193058275804
3/1/1999,302.193058275804,29.137237643361,9,20.137237643361
3/2/1999,302.137237643361,29.074650873653,9,20.074650873653
3/3/1999,302.074650873653,29.018266396438,9,20.018266396438
3/4/1999,302.018266396438,29.010372569628,9,20.010372569628
3/5/1999,302.010372569628,29.065065512526,9,20.065065512526
3/6/1999,302.065065512526,29.141748401538,9,20.141748401538
3/7/1999,302.141748401538,29.198696723525,9,20.198696723525
3/8/1999,302.198696723525,29.195877499665,9,20.195877499665
3/9/1999,302.195877499665,29.153589141753,9,20.153589141753
3/10/1999,302.153589141753,29.11863076588,9,20.11863076588
3/11/1999,302.11863076588,29.086491613868,9,20.086491613868
3/12/1999,302.086491613868,29.050969393223,9,20.050969393223
