SST(K),DATE,SST(degC),CW(degC),DelT
301.260503512126,01/01/1999,28.260503512126,9,19.260503512126
301.242656259835,02/01/1999,28.242656259835,9,19.242656259835
301.217540570119,03/01/1999,28.217540570119,9,19.217540570119
301.188754679327,04/01/1999,28.188754679327,9,19.188754679327
301.158457529269,05/01/1999,28.158457529269,9,19.158457529269
301.111320633098,06/01/1999,28.111320633098,9,19.111320633098
301.031727645059,07/01/1999,28.031727645059,9,19.031727645059
300.905789372845,08/01/1999,27.905789372845,9,18.905789372845
300.763443142881,09/01/1999,27.763443142881,9,18.763443142881
300.641822754286,10/01/1999,27.641822754286,9,18.641822754286
300.548124679759,11/01/1999,27.548124679759,9,18.548124679759
300.486306979284,12/01/1999,27.486306979284,9,18.486306979284
300.45852859467,13/01/1999,27.45852859467,9,18.45852859467
300.465365243733,14/01/1999,27.465365243733,9,18.465365243733
300.49926063014,15/01/1999,27.49926063014,9,18.49926063014
300.566187826231,16/01/1999,27.566187826231,9,18.566187826231
300.665283255281,17/01/1999,27.665283255281,9,18.665283255281
300.800504977275,18/01/1999,27.800504977275,9,18.800504977275
300.93212846292,19/01/1999,27.93212846292,9,18.93212846292
301.020285253469,20/01/1999,28.020285253469,9,19.020285253469
301.06886144418,21/01/1999,28.06886144418,9,19.06886144418
301.087140484833,22/01/1999,28.087140484833,9,19.087140484833
301.079800082681,23/01/1999,28.079800082681,9,19.079800082681
301.034174445776,24/01/1999,28.034174445776,9,19.034174445776
300.949975715211,25/01/1999,27.949975715211,9,18.949975715211
300.850808321433,26/01/1999,27.850808321433,9,18.850808321433
300.759557047624,27/01/1999,27.759557047624,9,18.759557047624
300.699466500596,28/01/1999,27.699466500596,9,18.699466500596
300.692629851533,29/01/1999,27.692629851533,9,18.692629851533
300.728972038658,30/01/1999,27.728972038658,9,18.728972038658
300.791509386402,31/01/1999,27.791509386402,9,18.791509386402
300.868439679543,01/02/1999,27.868439679543,9,18.868439679543
300.939684759252,02/02/1999,27.939684759252,9,18.939684759252
300.987325408513,03/02/1999,27.987325408513,9,18.987325408513
301.008051249883,04/02/1999,28.008051249883,9,19.008051249883
301.012441098228,05/02/1999,28.012441098228,9,19.012441098228
301.014887898946,06/02/1999,28.014887898946,9,19.014887898946
301.029064950161,07/02/1999,28.029064950161,9,19.029064950161
301.039787694481,08/02/1999,28.039787694481,9,19.039787694481
301.036621246493,09/02/1999,28.036621246493,9,19.036621246493
301.037844646852,10/02/1999,28.037844646852,9,19.037844646852
301.058570488222,11/02/1999,28.058570488222,9,19.058570488222
301.115998340351,12/02/1999,28.115998340351,9,19.115998340351
301.172130827395,13/02/1999,28.172130827395,9,19.172130827395
301.201924224365,14/02/1999,28.201924224365,9,19.201924224365
301.240713212206,15/02/1999,28.240713212206,9,19.240713212206
301.324192295502,16/02/1999,28.324192295502,9,19.324192295502
301.486328825386,17/02/1999,28.486328825386,9,19.486328825386
301.671422103177,18/02/1999,28.671422103177,9,19.671422103177
301.816143169132,19/02/1999,28.816143169132,9,19.816143169132
301.933373709381,20/02/1999,28.933373709381,9,19.933373709381
302.045422789287,21/02/1999,29.045422789287,9,20.045422789287
302.167259072063,22/02/1999,29.167259072063,9,20.167259072063
302.242678105937,23/02/1999,29.242678105937,9,20.242678105937
302.236345209963,24/02/1999,29.236345209963,9,20.236345209963
302.195037456677,25/02/1999,29.195037456677,9,20.195037456677
302.167978719333,26/02/1999,29.167978719333,9,20.167978719333
302.202881611918,27/02/1999,29.202881611918,9,20.202881611918
302.292477697007,28/02/1999,29.292477697007,9,20.292477697007
302.392076879146,01/03/1999,29.392076879146,9,20.392076879146
302.493906967821,02/03/1999,29.493906967821,9,20.493906967821
302.590555596154,03/03/1999,29.590555596154,9,20.590555596154
302.67331503218,04/03/1999,29.67331503218,9,20.67331503218
302.728727871954,05/03/1999,29.728727871954,9,20.728727871954
302.755354820937,06/03/1999,29.755354820937,9,20.755354820937
302.752692126038,07/03/1999,29.752692126038,9,20.752692126038
302.724841776697,08/03/1999,29.724841776697,9,20.724841776697
302.672595384911,09/03/1999,29.672595384911,9,20.672595384911
302.638915892684,10/03/1999,29.638915892684,9,20.638915892684
302.642082340671,11/03/1999,29.642082340671,9,20.642082340671
302.652373296629,12/03/1999,29.652373296629,9,20.652373296629
302.637188739237,13/03/1999,29.637188739237,9,20.637188739237
302.565439906439,14/03/1999,29.565439906439,9,20.565439906439
302.479514022426,15/03/1999,29.479514022426,9,20.479514022426
302.434320173883,16/03/1999,29.434320173883,9,20.434320173883
302.411363425976,17/03/1999,29.411363425976,9,20.411363425976
302.392076879146,18/03/1999,29.392076879146,9,20.392076879146
302.360628293456,19/03/1999,29.360628293456,9,20.360628293456
302.34861018405,20/03/1999,29.34861018405,9,20.34861018405
302.384016829724,21/03/1999,29.384016829724,9,20.384016829724
302.442164329123,22/03/1999,29.442164329123,9,20.442164329123
302.498800569256,23/03/1999,29.498800569256,9,20.498800569256
302.527082706959,24/03/1999,29.527082706959,9,20.527082706959
302.52513965933,25/03/1999,29.52513965933,9,20.52513965933
302.51441691501,26/03/1999,29.51441691501,9,20.51441691501
302.504917571049,27/03/1999,29.504917571049,9,20.504917571049
302.5058531125,28/03/1999,29.5058531125,9,20.5058531125
302.527082706959,29/03/1999,29.527082706959,9,20.527082706959
302.581056252193,30/03/1999,29.581056252193,9,20.581056252193
302.659425839873,31/03/1999,29.659425839873,9,20.659425839873
302.739234722093,01/04/1999,29.739234722093,9,20.739234722093
302.795655068045,02/04/1999,29.795655068045,9,20.795655068045
302.805154412006,03/04/1999,29.805154412006,9,20.805154412006
302.78003872229,04/04/1999,29.78003872229,9,20.78003872229
302.747582630423,05/04/1999,29.747582630423,9,20.747582630423
302.702604676061,06/04/1999,29.702604676061,9,20.702604676061
302.64474503557,07/04/1999,29.64474503557,9,20.64474503557
302.568606354426,08/04/1999,29.568606354426,9,20.568606354426
302.529529507676,09/04/1999,29.529529507676,9,20.529529507676
302.554717162119,10/04/1999,29.554717162119,9,20.554717162119
302.600126904843,11/04/1999,29.600126904843,9,20.600126904843
302.62329954693,12/04/1999,29.62329954693,9,20.62329954693
302.577889804206,13/04/1999,29.577889804206,9,20.577889804206
302.497289309989,14/04/1999,29.497289309989,9,20.497289309989
302.439213775317,15/04/1999,29.439213775317,9,20.439213775317
302.394019926774,16/04/1999,29.394019926774,9,20.394019926774
302.350841090587,17/04/1999,29.350841090587,9,20.350841090587
302.302768652965,18/04/1999,29.302768652965,9,20.302768652965
302.281467093779,19/04/1999,29.281467093779,9,20.281467093779
302.309605302028,20/04/1999,29.309605302028,9,20.309605302028
302.365018141802,21/04/1999,29.365018141802,9,20.365018141802
302.424820829921,22/04/1999,29.424820829921,9,20.424820829921
302.46749591302,23/04/1999,29.46749591302,9,20.46749591302
