Timestamp,SST(K),CW(K),DelT
1-7-1999 4:30 AM,301.564471498973,282,19.5644714989729
1-7-1999 10:30 AM,301.564471498973,282,19.5644714989729
1-7-1999 4:30 PM,301.564471498973,282,19.5644714989729
1-7-1999 10:30 PM,301.564471498973,282,19.5644714989729
2-7-1999 4:30 AM,301.452149391218,282,19.452149391218
2-7-1999 10:30 AM,301.452149391218,282,19.452149391218
2-7-1999 4:30 PM,301.452149391218,282,19.452149391218
2-7-1999 10:30 PM,301.452149391218,282,19.452149391218
3-7-1999 4:30 AM,301.361567046254,282,19.3615670462544
3-7-1999 10:30 AM,301.361567046254,282,19.3615670462544
3-7-1999 4:30 PM,301.361567046254,282,19.3615670462544
3-7-1999 10:30 PM,301.361567046254,282,19.3615670462544
4-7-1999 4:30 AM,301.28562884706,282,19.2856288470599
4-7-1999 10:30 AM,301.28562884706,282,19.2856288470599
4-7-1999 4:30 PM,301.28562884706,282,19.2856288470599
4-7-1999 10:30 PM,301.28562884706,282,19.2856288470599
5-7-1999 4:30 AM,301.22267411731,282,19.2226741173102
5-7-1999 10:30 AM,301.22267411731,282,19.2226741173102
5-7-1999 4:30 PM,301.22267411731,282,19.2226741173102
5-7-1999 10:30 PM,301.22267411731,282,19.2226741173102
6-7-1999 4:30 AM,301.171646062981,282,19.1716460629807
6-7-1999 10:30 AM,301.171646062981,282,19.1716460629807
6-7-1999 4:30 PM,301.171646062981,282,19.1716460629807
6-7-1999 10:30 PM,301.171646062981,282,19.1716460629807
7-7-1999 4:30 AM,301.130355610735,282,19.1303556107348
7-7-1999 10:30 AM,301.130355610735,282,19.1303556107348
7-7-1999 4:30 PM,301.130355610735,282,19.1303556107348
7-7-1999 10:30 PM,301.130355610735,282,19.1303556107348
8-7-1999 4:30 AM,301.104992554145,282,19.104992554145
8-7-1999 10:30 AM,301.104992554145,282,19.104992554145
8-7-1999 4:30 PM,301.104992554145,282,19.104992554145
8-7-1999 10:30 PM,301.104992554145,282,19.104992554145
9-7-1999 4:30 AM,301.097896937123,282,19.0978969371228
9-7-1999 10:30 AM,301.097896937123,282,19.0978969371228
9-7-1999 4:30 PM,301.097896937123,282,19.0978969371228
9-7-1999 10:30 PM,301.097896937123,282,19.0978969371228
10-7-1999 4:30 AM,301.102048627934,282,19.1020486279336
10-7-1999 10:30 AM,301.102048627934,282,19.1020486279336
10-7-1999 4:30 PM,301.102048627934,282,19.1020486279336
10-7-1999 10:30 PM,301.102048627934,282,19.1020486279336
11-7-1999 4:30 AM,301.110842663924,282,19.1108426639238
11-7-1999 10:30 AM,301.110842663924,282,19.1108426639238
11-7-1999 4:30 PM,301.110842663924,282,19.1108426639238
11-7-1999 10:30 PM,301.110842663924,282,19.1108426639238
12-7-1999 4:30 AM,301.116202119334,282,19.1162021193342
12-7-1999 10:30 AM,301.116202119334,282,19.1162021193342
12-7-1999 4:30 PM,301.116202119334,282,19.1162021193342
12-7-1999 10:30 PM,301.116202119334,282,19.1162021193342
13-7-1999 4:30 AM,301.115485009103,282,19.1154850091032
13-7-1999 10:30 AM,301.115485009103,282,19.1154850091032
13-7-1999 4:30 PM,301.115485009103,282,19.1154850091032
13-7-1999 10:30 PM,301.115485009103,282,19.1154850091032
14-7-1999 4:30 AM,301.106917428975,282,19.1069174289755
14-7-1999 10:30 AM,301.106917428975,282,19.1069174289755
14-7-1999 4:30 PM,301.106917428975,282,19.1069174289755
14-7-1999 10:30 PM,301.106917428975,282,19.1069174289755
15-7-1999 4:30 AM,301.08544186469,282,19.0854418646903
15-7-1999 10:30 AM,301.08544186469,282,19.0854418646903
15-7-1999 4:30 PM,301.08544186469,282,19.0854418646903
15-7-1999 10:30 PM,301.08544186469,282,19.0854418646903
16-7-1999 4:30 AM,301.048114390037,282,19.0481143900366
16-7-1999 10:30 AM,301.048114390037,282,19.0481143900366
16-7-1999 4:30 PM,301.048114390037,282,19.0481143900366
16-7-1999 10:30 PM,301.048114390037,282,19.0481143900366
17-7-1999 4:30 AM,300.990707828916,282,18.9907078289159
17-7-1999 10:30 AM,300.990707828916,282,18.9907078289159
17-7-1999 4:30 PM,300.990707828916,282,18.9907078289159
17-7-1999 10:30 PM,300.990707828916,282,18.9907078289159
18-7-1999 4:30 AM,300.931640591471,282,18.9316405914709
18-7-1999 10:30 AM,300.931640591471,282,18.9316405914709
18-7-1999 4:30 PM,300.931640591471,282,18.9316405914709
18-7-1999 10:30 PM,300.931640591471,282,18.9316405914709
19-7-1999 4:30 AM,300.885481338183,282,18.8854813381832
19-7-1999 10:30 AM,300.885481338183,282,18.8854813381832
19-7-1999 4:30 PM,300.885481338183,282,18.8854813381832
19-7-1999 10:30 PM,300.885481338183,282,18.8854813381832
20-7-1999 4:30 AM,300.841058246507,282,18.8410582465073
20-7-1999 10:30 AM,300.841058246507,282,18.8410582465073
20-7-1999 4:30 PM,300.841058246507,282,18.8410582465073
20-7-1999 10:30 PM,300.841058246507,282,18.8410582465073
21-7-1999 4:30 AM,300.788558229072,282,18.7885582290721
21-7-1999 10:30 AM,300.788558229072,282,18.7885582290721
21-7-1999 4:30 PM,300.788558229072,282,18.7885582290721
21-7-1999 10:30 PM,300.788558229072,282,18.7885582290721
22-7-1999 4:30 AM,300.716318808964,282,18.7163188089637
22-7-1999 10:30 AM,300.716318808964,282,18.7163188089637
22-7-1999 4:30 PM,300.716318808964,282,18.7163188089637
22-7-1999 10:30 PM,300.716318808964,282,18.7163188089637
23-7-1999 4:30 AM,300.644758756442,282,18.6447587564424
