DATE,SST(K),SST(degC),CW(degC),DelT
1/1/1999,301.288087416507,28.288087416507,9,19.288087416507
1/2/1999,301.265533625622,28.265533625622,9,19.265533625622
1/3/1999,301.239032921331,28.239032921331,9,19.239032921331
1/4/1999,301.215351440901,28.215351440901,9,19.215351440901
1/5/1999,301.193925339559,28.193925339559,9,19.193925339559
1/6/1999,301.152764671192,28.152764671192,9,19.152764671192
1/7/1999,301.069879489686,28.069879489686,9,19.069879489686
1/8/1999,300.9238436937,27.9238436937,9,18.9238436937
1/9/1999,300.74792412479,27.74792412479,9,18.74792412479
1/10/1999,300.592302967678,27.592302967678,9,18.592302967678
1/11/1999,300.468820962578,27.468820962578,9,18.468820962578
1/12/1999,300.387627315388,27.387627315388,9,18.387627315388
1/13/1999,300.358307387237,27.358307387237,9,18.358307387237
1/14/1999,300.376914264718,27.376914264718,9,18.376914264718
1/15/1999,300.43273489716,27.43273489716,9,18.43273489716
1/16/1999,300.530843887514,27.530843887514,9,18.530843887514
1/17/1999,300.672368925323,27.672368925323,9,18.672368925323
1/18/1999,300.862384613536,27.862384613536,9,18.862384613536
1/19/1999,301.042251095851,28.042251095851,9,19.042251095851
1/20/1999,301.16009465323,28.16009465323,9,19.16009465323
1/21/1999,301.226628336343,28.226628336343,9,19.226628336343
1/22/1999,301.253129040634,28.253129040634,9,19.253129040634
1/23/1999,301.248618282457,28.248618282457,9,19.248618282457
1/24/1999,301.200127632052,28.200127632052,9,19.200127632052
1/25/1999,301.103146331243,28.103146331243,9,19.103146331243
1/26/1999,300.983611239548,27.983611239548,9,18.983611239548
1/27/1999,300.869150750802,27.869150750802,9,18.869150750802
1/28/1999,300.786265569296,27.786265569296,9,18.786265569296
1/29/1999,300.762020244094,27.762020244094,9,18.762020244094
1/30/1999,300.791904017018,27.791904017018,9,18.791904017018
1/31/1999,300.856746165815,27.856746165815,9,18.856746165815
2/1/1999,300.939067502548,27.939067502548,9,18.939067502548
2/2/1999,301.017441925877,28.017441925877,9,19.017441925877
2/3/1999,301.069879489686,28.069879489686,9,19.069879489686
2/4/1999,301.095816349205,28.095816349205,9,19.095816349205
2/5/1999,301.107093244648,28.107093244648,9,19.107093244648
2/6/1999,301.118370140091,28.118370140091,9,19.118370140091
2/7/1999,301.137540862344,28.137540862344,9,19.137540862344
2/8/1999,301.15220082642,28.15220082642,9,19.15220082642
2/9/1999,301.149945447331,28.149945447331,9,19.149945447331
2/10/1999,301.148253913015,28.148253913015,9,19.148253913015
2/11/1999,301.165733100951,28.165733100951,9,19.165733100951
2/12/1999,301.22042604385,28.22042604385,9,19.22042604385
2/13/1999,301.273427452432,28.273427452432,9,19.273427452432
2/14/1999,301.297672777634,28.297672777634,9,19.297672777634
2/15/1999,301.333758843051,28.333758843051,9,19.333758843051
